,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
985,Defence Research...,4.4,(451 Reviews),Private,"Delhi/NCR,New Delhi + 32 more",64 years old,10k-50k Employees (India)
986,Nippon Paint Ind...,4.0,(395 Reviews),Private,Osaka + 69 more,141 years old,501-1k Employees (India)
987,SFO Technologies,3.6,(395 Reviews),Private,"Kochi/Cochin,Kerala + 11 more",32 years old,1k-5k Employees (India)
988,Colliers Interna...,4.0,(395 Reviews),Private,Ontario + 20 more,27 years old,1k-5k Employees (India)
989,Adobe,4.3,(395 Reviews),Public,"San Jose,California + 9 more",25 years old,5k-10k Employees (India)
990,ZTE Corporation,3.8,(395 Reviews),Private,"Shenzhen,Guangdong + 45 more",19 years old,1k-5k Employees (India)
991,Ahluwalia Contra...,3.9,(395 Reviews),Public,"Delhi/NCR,New Delhi + 24 more",57 years old,5k-10k Employees (Global)
992,Ihg Group,4.2,(815 Reviews),Private,"Gurgaon/Gurugram,Haryana + 33 more",19 years old,501-1k Employees (India)
993,ICA Edu Skills,3.7,(394 Reviews),Private,"Kolkata,West Bengal + 83 more",23 years old,501-1k Employees (India)
994,Otis Elevator,4.1,(394 Reviews),Private,"Farmington,Connecticut + 43 more",169 years old,1k-5k Employees (India)
995,Scope Internatio...,3.9,(394 Reviews),Private,Mannheim + 4 more,21 years old,201-500 Employees (Global)
996,Minda Corporatio...,3.9,(393 Reviews),Public,Gurugram + 36 more,64 years old,1k-5k Employees (India)
997,DLF,4.1,(392 Reviews),Public,"Gurgaon/Gurugram,Haryana + 23 more",76 years old,1k-5k Employees (Global)
998,KIMS Hospital,4.1,(392 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 28 more",10 years old,1k-5k Employees (Global)
999,United Alliance ...,4.7,(392 Reviews),Pune + 8 more,,,
1000,Saud Bahwan Grou...,3.7,(390 Reviews),Private,Muscat + 15 more,47 years old,201-500 Employees (India)
1001,Tata Cummins,4.3,(390 Reviews),Private,"Pune,Maharashtra + 18 more",29 years old,5k-10k Employees (India)
1002,Dixon Technologi...,4.0,(390 Reviews),Public,"Noida,Uttar Pradesh + 19 more",29 years old,1k-5k Employees (India)
1003,Optum Global Sol...,4.0,(390 Reviews),Hyderabad/Secunderabad + 6 more,,,
1004,Matrimony.com,3.7,(389 Reviews),Public,"Chennai,Tamil Nadu + 30 more",25 years old,1k-5k Employees (India)
1005,Denave,3.9,(388 Reviews),Private,"Noida,Uttar Pradesh + 48 more",23 years old,501-1k Employees (India)
1006,Sl Lumax,3.5,(388 Reviews),Public,"Sriperumbudur,Tamil Nadu + 11 more",25 years old,1k-5k Employees (Global)
1007,GKN,4.1,(388 Reviews),Private,"Redditch,Worcestershire + 19 more",37 years old,501-1k Employees (India)
1008,HARMAN,3.8,(1.2k Reviews),Public,"Stamford,Connecticut + 12 more",13 years old,1k-5k Employees (India)
1009,GE Power,4.2,(530 Reviews),Public,"Schenectady,Düsseldorf + 36 more",30 years old,1k-5k Employees (India)
1010,Medusind Solutio...,4.0,(387 Reviews),Private,"Mumbai,Maharashtra + 4 more",20 years old,1k-5k Employees (India)
1011,Star Cement,3.8,(386 Reviews),Public,"Kolkata,West Bengal + 32 more",21 years old,501-1k Employees (India)
1012,Gharda Chemicals,4.1,(386 Reviews),Private,"Mumbai,Maharashtra + 32 more",55 years old,1k-5k Employees (India)
1013,Lumen Technologi...,3.7,(386 Reviews),"Monroe,Louisiana + 10 more",92 years old,1k-5k Employees (India),
1014,JTEKT,4.1,(521 Reviews),Public,Osaka + 16 more,16 years old,1k-5k Employees (India)
1015,Air India,3.9,(466 Reviews),Private,"Delhi/NCR,New Delhi + 35 more",92 years old,5k-10k Employees (Global)
1016,Asirvad Microfin...,4.0,(385 Reviews),Private,"Chennai,Tamil Nadu + 114 more",15 years old,5k-10k Employees (India)
1017,Royal Sundaram G...,3.9,(385 Reviews),JV,"Chennai,Tamil Nadu + 72 more",21 years old,1k-5k Employees (India)
1018,Morgan Stanley,3.9,(385 Reviews),Private,"New York,New York + 8 more",91 years old,5k-10k Employees (India)
1019,Napino Auto & El...,4.1,(384 Reviews),Public,"Gurgaon/Gurugram,Haryana + 5 more",25 years old,1k-5k Employees (India)
1020,CALIBEHR,3.7,(384 Reviews),Private,"Mumbai,Maharashtra + 62 more",43 years old,51-200 Employees (India)
1021,Star Union Dai-i...,3.8,(383 Reviews),Private,"Navi Mumbai,Maharashtra + 98 more",13 years old,1k-5k Employees (India)
1022,Rao IIT Academy,3.8,(382 Reviews),Private,"Mumbai,Maharashtra + 19 more",8 years old,11-50 Employees (India)
1023,Tanishq,4.3,(382 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 102 more",28 years old,5k-10k Employees (Global)
1024,Central Industri...,4.5,(381 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 53 more",53 years old,1 Lakh+ Employees (India)
1025,Jaya Hind Indust...,3.7,(381 Reviews),Public,"Pune,Maharashtra + 12 more",75 years old,501-1k Employees (India)
1026,Rodic Consultant...,4.4,(381 Reviews),Private,"Delhi/NCR,Delhi + 67 more",22 years old,1k-5k Employees (India)
1027,Cox & Kings,3.8,(499 Reviews),Private,"Mumbai,Maharashtra + 49 more",264 years old,1k-5k Employees (India)
1028,Visionet Systems,3.6,(380 Reviews),Private,"Cranbury,New Jersey + 6 more",27 years old,1k-5k Employees (India)
1029,Recpdcl.ltd,4.1,(380 Reviews),Private,"Noida,Uttar Pradesh + 50 more",15 years old,1k-5k Employees (Global)
1030,Kutumbh Care,4.1,(380 Reviews),Private,"Noida,Uttar Pradesh + 103 more",15 years old,5k-10k Employees (India)
1031,Visionary RCM In...,3.4,(380 Reviews),Private,"Chennai,Tamil Nadu + 6 more",16 years old,1k-5k Employees (Global)
1032,Genpact Headstro...,3.9,(479 Reviews),Private,"New Delhi,New Delhi + 12 more",24 years old,1k-5k Employees (India)
1033,Future Lifestyle...,4.2,(379 Reviews),Public,"Mumbai,Maharashtra + 50 more",10 years old,1k-5k Employees (India)
1034,HFCL,4.2,(463 Reviews),Public,"Delhi/NCR,New Delhi + 66 more",35 years old,1k-5k Employees (India)
1035,HBL Global,4.1,(378 Reviews),Private,"Mumbai,Maharashtra + 69 more",22 years old,11-50 Employees (India)
1036,HPCL-Mittal Ener...,4.4,(378 Reviews),JV,"Noida,Uttar Pradesh + 14 more",15 years old,1k-5k Employees (India)
1037,National Health ...,4.0,(378 Reviews),Private,"Guwahati,Assam + 125 more",17 years old,1 Lakh+ Employees (Global)
1038,Xerox Technology...,3.8,(525 Reviews),Private,"Norwalk,Connecticut + 27 more",6 years old,501-1k Employees (India)
1039,IL&FS Engineerin...,4.4,(377 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 42 more",34 years old,1k-5k Employees (India)
1040,QualityKiosk Tec...,3.8,(377 Reviews),Private,"Mumbai,Maharashtra + 8 more",22 years old,1k-5k Employees (India)
1041,Edubridge Learni...,4.1,(377 Reviews),Private,"Mumbai,Maharashtra + 54 more",13 years old,201-500 Employees (India)
1042,ZF Steering Gear...,3.7,(377 Reviews),Public,"Friedrichshafen,Baden-Württemberg + 4 more",107 years old,1k-5k Employees (Global)
1043,Velocis Systems,4.0,(376 Reviews),Private,"Noida,Uttar Pradesh + 32 more",27 years old,1k-5k Employees (India)
1044,VA Tech Wabag,3.9,(376 Reviews),Public,"Chennai,Tamil Nadu + 36 more",98 years old,1k-5k Employees (India)
1045,Advik Hi Tech,3.5,(376 Reviews),"Pune,Maharashtra + 15 more",22 years old,501-1k Employees (India),
1046,Central Public W...,4.1,(376 Reviews),Private,"Delhi/NCR,New Delhi + 88 more",168 years old,10k-50k Employees (India)
1047,Comviva Technolo...,3.8,(376 Reviews),Private,"Gurgaon,Haryana + 62 more",23 years old,1k-5k Employees (India)
1048,OLX,4.1,(375 Reviews),Private,"Gurgaon,Haryana + 39 more",16 years old,501-1k Employees (India)
1049,L&T Power,3.9,(375 Reviews),"Mumbai,Maharashtra + 67 more",16 years old,1k-5k Employees (India),
1050,Hikal,4.0,(375 Reviews),Private,"Mumbai,Maharashtra + 12 more",34 years old,1k-5k Employees (India)
1051,Athena BPO,3.3,(375 Reviews),Private,"Mumbai,Maharashtra + 18 more",3 years old,201-500 Employees (India)
1052,Saudi Binladin G...,4.3,(374 Reviews),Private,"Jeddah,Riyadh + 25 more",91 years old,201-500 Employees (India)
1053,Fino Paytech,4.3,(374 Reviews),"Mumbai,Maharashtra + 92 more",16 years old,51-200 Employees (India),
1054,BASF,4.5,(466 Reviews),Private,Ludwigshafen + 49 more,79 years old,10k-50k Employees (India)
1055,le méridien,3.9,(372 Reviews),Private,Paris + 21 more,50 years old,5k-10k Employees (India)
1056,Chennai Radha En...,4.0,(372 Reviews),Private,"Chennai,Tamil Nadu + 30 more",17 years old,5k-10k Employees (India)
1057,Border Security ...,4.4,(371 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 54 more",57 years old,1 Lakh+ Employees (India)
1058,Caparo Engineeri...,3.9,(371 Reviews),"Gurgaon/Gurugram,Haryana + 29 more",54 years old,51-200 Employees (India),
1059,Chetu,3.5,(371 Reviews),Private,"Plantation,Florida + 3 more",22 years old,1k-5k Employees (India)
1060,Engineers India,4.3,(370 Reviews),Public,"Delhi/NCR,New Delhi + 42 more",57 years old,1k-5k Employees (India)
1061,Skipper,3.7,(370 Reviews),Public,"Kolkata,West Bengal + 35 more",41 years old,1k-5k Employees (India)
1062,Alshaya Group,4.2,(370 Reviews),Private,"Kuwait City,Kuwait + 18 more",132 years old,501-1k Employees (India)
1063,BEML,4.0,(369 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 26 more",58 years old,1k-5k Employees (India)
1064,VeeTechnologies,3.6,(368 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",22 years old,1k-5k Employees (India)
1065,Kalpataru Group,3.6,(368 Reviews),Private,"Mumbai,Maharashtra + 36 more",53 years old,1k-5k Employees (India)
1066,India Japan Ligh...,4.2,(368 Reviews),Private,"Chennai,Tamil Nadu + 17 more",26 years old,501-1k Employees (India)
1067,Biba Apparels,4.0,(368 Reviews),Private,Gurgaon + 62 more,36 years old,501-1k Employees (India)
1068,Bses Rajdhani Po...,3.9,(533 Reviews),Private,"Delhi/NCR,New Delhi + 5 more",21 years old,5k-10k Employees (Global)
1069,Pratap Technocra...,3.9,(367 Reviews),Private,"Jaipur,Rajasthan + 71 more",24 years old,501-1k Employees (India)
1070,Courtyard by Mar...,4.4,(366 Reviews),Public,"Bethesda,Maryland + 29 more",95 years old,1k-5k Employees (India)
1071,Ebix Software In...,3.2,(366 Reviews),Public,"Atlanta,Georgia + 21 more",46 years old,1k-5k Employees (India)
1072,uFaber,4.0,(365 Reviews),Private,"Mumbai,Maharashtra + 14 more",9 years old,501-1k Employees (India)
1073,Wipro Infrastruc...,3.8,(365 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 23 more",46 years old,1k-5k Employees (India)
1074,AIIMS,4.2,(365 Reviews),"Delhi/NCR,New Delhi + 25 more",66 years old,5k-10k Employees (India),
1075,Essjay Ericsson,4.0,(365 Reviews),Private,Delhi + 65 more,51 years old,1k-5k Employees (India)
1076,Baxter Internati...,4.1,(479 Reviews),Private,"Deerfield,Illinois + 22 more",26 years old,1k-5k Employees (India)
1077,Government of In...,4.1,(364 Reviews),Govt Organisation,New Delhi + 94 more,72 years old,1 Lakh+ Employees (Global)
1078,Gionee,4.1,(364 Reviews),Private,Shenzhen + 101 more,9 years old,501-1k Employees (India)
1079,WorleyParsons,3.8,(363 Reviews),Private,"North Sydney,North Sydney + 23 more",51 years old,1k-5k Employees (India)
1080,HBL Power System...,3.8,(363 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 33 more",45 years old,1k-5k Employees (India)
1081,Tata Advanced Sy...,4.0,(363 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 12 more",15 years old,1k-5k Employees (India)
1082,Sri Chaitanya Sc...,4.0,(362 Reviews),Hyderabad + 50 more,36 years old,11-50 Employees (India),
1083,Transsion,4.3,(362 Reviews),Public,Shenzhen + 44 more,16 years old,501-1k Employees (India)
1084,Amway India Ente...,4.0,(362 Reviews),Private,"Ada Township,Michigan + 68 more",27 years old,501-1k Employees (India)
1085,Sandhar Technolo...,3.9,(361 Reviews),Public,"Gurgaon/Gurugram,Haryana + 23 more",35 years old,5k-10k Employees (India)
1086,Leadec,3.8,(361 Reviews),Private,Stuttgart + 30 more,60 years old,501-1k Employees (India)
1087,FirstCry,3.9,(361 Reviews),Private,"Pune,Maharashtra + 44 more",12 years old,1k-5k Employees (India)
1088,NSB Bpo Solution...,3.3,(361 Reviews),Private,"Bhopal,Madhya Pradesh + 73 more",29 years old,1k-5k Employees (India)
1089,Coforge,3.7,(361 Reviews),Public,Greater Noida + 19 more,10k-50k Employees (India),
1090,Diageo,4.1,(807 Reviews),Public,London + 51 more,25 years old,1k-5k Employees (India)
1091,Dhanuka Agritech,3.7,(403 Reviews),Public,"Gurgaon/Gurugram,Haryana + 56 more",40 years old,1k-5k Employees (India)
1092,TEKsystems,3.6,(360 Reviews),Private,"Hanover,Maryland + 7 more",39 years old,1k-5k Employees (India)
1093,Timken,4.0,(360 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 24 more",24 years old,501-1k Employees (India)
1094,Medplus(optival ...,3.7,(359 Reviews),Private,Hyderabad + 37 more,16 years old,501-1k Employees (India)
1095,Knorr-Bremse,4.1,(359 Reviews),Private,Munich + 15 more,9 years old,501-1k Employees (India)
1096,Oriental Structu...,4.1,(359 Reviews),Private,"Delhi/NCR,Delhi + 38 more",36 years old,1k-5k Employees (India)
1097,Aparna Construct...,4.1,(359 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 21 more",26 years old,501-1k Employees (India)
1098,Rallis India,4.3,(358 Reviews),Public,"Mumbai,Maharashtra + 57 more",74 years old,1k-5k Employees (India)
1099,Artech Infosyste...,3.5,(358 Reviews),Private,"Morristown,New Jersey + 13 more",30 years old,201-500 Employees (India)
1100,Turbo Energy,4.2,(358 Reviews),Private,"Chennai,Tamil Nadu + 16 more",39 years old,501-1k Employees (India)
1101,Tata Starbucks,4.2,(358 Reviews),JV,Seattle + 21 more,51 years old,1k-5k Employees (India)
1102,Magneti Marelli ...,4.0,(356 Reviews),Private,Pune + 15 more,14 years old,11-50 Employees (India)
1103,Care Hospital,4.3,(356 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 24 more",25 years old,1k-5k Employees (India)
1104,Raychem RPG,4.1,(355 Reviews),Private,"Mumbai,Maharashtra + 19 more",33 years old,501-1k Employees (India)
1105,Michelin,3.7,(355 Reviews),Private,Clermont-Ferrand + 33 more,13 years old,5k-10k Employees (India)
1106,Micro Turners,3.8,(355 Reviews),Private,"Panchkula,Haryana + 30 more",53 years old,51-200 Employees (India)
1107,Samasta Microfin...,4.1,(355 Reviews),Public,"Bangalore,Karnataka + 114 more",14 years old,1k-5k Employees (India)
1108,Electrotherm,4.1,(355 Reviews),Public,"Ahmedabad,Gujarat + 19 more",39 years old,1k-5k Employees (India)
1109,Ramky Infrastruc...,4.3,(355 Reviews),Public,Hyderabad + 38 more,28 years old,501-1k Employees (India)
1110,Hitachi Payment ...,4.0,(354 Reviews),Private,"Mumbai,Maharashtra + 24 more",17 years old,1k-5k Employees (India)
1111,Willis Towers Wa...,3.9,(424 Reviews),Private,London + 12 more,6 years old,1k-5k Employees (India)
1112,Pernod Ricard,4.1,(359 Reviews),Private,Paris + 66 more,47 years old,501-1k Employees (India)
1113,Gayatri Projects,4.0,(353 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 59 more",59 years old,1k-5k Employees (India)
1114,Godrej Propertie...,3.9,(352 Reviews),Public,"Mumbai,Maharashtra + 20 more",32 years old,1k-5k Employees (India)
1115,FIITJEE,3.6,(352 Reviews),Private,"Delhi,NCT + 41 more",30 years old,1k-5k Employees (India)
1116,RAMTeCH Software...,3.8,(352 Reviews),Private,"Noida,Uttar Pradesh + 22 more",30 years old,1k-5k Employees (India)
1117,Voltech,3.6,(352 Reviews),Private,"Chennai,Tamil Nadu + 21 more",34 years old,501-1k Employees (India)
1118,Aparajitha Corpo...,3.9,(352 Reviews),Private,"Madurai,Tamil Nadu + 43 more",22 years old,1k-5k Employees (India)
1119,Saudi Aramco,4.5,(696 Reviews),Private,Dhahran + 26 more,89 years old,1k-5k Employees (India)
1120,Allscripts,4.3,(353 Reviews),Private,"Chicago,Illinois + 4 more",36 years old,1k-5k Employees (India)
1121,UNITED COLORS OF...,4.5,(351 Reviews),Private,"Gurgaon/Gurugram,Haryana + 54 more",30 years old,201-500 Employees (India)
1122,Arohan Financial...,4.0,(351 Reviews),Private,"Kolkata,West Bengal + 84 more",16 years old,1k-5k Employees (India)
1123,Schoolnet India,3.7,(351 Reviews),Public,"Noida,Uttar Pradesh + 79 more",25 years old,51-200 Employees (India)
1124,General Mills,4.3,(363 Reviews),Private,"Minneapolis,Minnesota + 31 more",26 years old,1k-5k Employees (India)
1125,Mu Sigma,3.4,(350 Reviews),Private,"Northbrook,Illinois + 2 more",18 years old,1k-5k Employees (India)
1126,Centum Learning,3.9,(350 Reviews),Private,"Delhi/NCR,New Delhi + 61 more",15 years old,201-500 Employees (India)
1127,J B Chemicals An...,4.0,(350 Reviews),Public,"Mumbai,Maharashtra + 34 more",46 years old,501-1k Employees (India)
1128,Fusion Microfina...,4.2,(348 Reviews),Private,"Delhi,NCT + 103 more",12 years old,5k-10k Employees (India)
1129,Leighton Contrac...,4.4,(348 Reviews),Private,"Mumbai,Maharashtra + 16 more",24 years old,501-1k Employees (India)
1130,Progressive Info...,3.8,(347 Reviews),Private,"Noida,Uttar Pradesh + 35 more",24 years old,1k-5k Employees (India)
1131,Encore Capital G...,4.3,(347 Reviews),Private,"San Diego,California + 2 more",69 years old,1k-5k Employees (India)
1132,Wheelseye Techno...,4.0,(346 Reviews),Private,"Gurgaon,Haryana + 86 more",5 years old,11-50 Employees (India)
1133,Indo Autotech,4.2,(346 Reviews),Private,"Faridabad,Haryana + 17 more",48 years old,1k-5k Employees (India)
1134,Rane Engine Valv...,4.0,(346 Reviews),Public,"Chennai,Tamil Nadu + 12 more",63 years old,501-1k Employees (India)
1135,Ramada,3.7,(346 Reviews),Private,"Gurgaon/Gurugram,Haryana + 37 more",12 years old,201-500 Employees (India)
1136,First Advantage,3.8,(346 Reviews),Private,"Atlanta,Georgia + 8 more",19 years old,1k-5k Employees (India)
1137,Experis IT,3.3,(346 Reviews),Private,"Kolkata,West Bengal + 30 more",24 years old,501-1k Employees (India)
1138,TVS Supply Chain...,4.1,(1.2k Reviews),"Chennai,Tamil Nadu + 58 more",126 years old,1k-5k Employees (India),
1139,Renault,4.0,(602 Reviews),Private,Boulogne Billancourt Cedex + 123 more,124 years old,10k-50k Employees (India)
1140,Essel Propack,4.0,(345 Reviews),Public,"Mumbai,Maharashtra + 21 more",38 years old,1k-5k Employees (India)
1141,Eris Lifescience...,3.9,(345 Reviews),Public,"Ahmedabad,Gujarat + 52 more",15 years old,1k-5k Employees (India)
1142,NBTC GROUP,3.7,(345 Reviews),Private,Al Ahmadi + 19 more,45 years old,501-1k Employees (India)
1143,Lea Associates S...,4.2,(345 Reviews),Private,"Delhi/NCR,Delhi + 70 more",29 years old,51-200 Employees (India)
1144,Photon Interacti...,4.1,(345 Reviews),Private,London + 5 more,23 years old,501-1k Employees (India)
1145,EMERSON PROCESS ...,4.0,(586 Reviews),Public,"St. Louis,Missouri + 23 more",132 years old,5k-10k Employees (India)
1146,Novotel Hotels,4.3,(344 Reviews),Private,Issy Les Moulineaux + 22 more,55 years old,1k-5k Employees (India)
1147,Creambell,3.9,(344 Reviews),Private,"Baddi,Himachal Pradesh + 58 more",31 years old,51-200 Employees (India)
1148,Titan Eye Plus,4.4,(344 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 77 more",15 years old,5k-10k Employees (Global)
1149,Army Public Scho...,4.1,(344 Reviews),Private,"Delhi/NCR,New Delhi + 67 more",48 years old,5k-10k Employees (Global)
1150,ICCS,3.1,(344 Reviews),Private,"Delhi/NCR,Delhi + 15 more",17 years old,1k-5k Employees (Global)
1151,Kantar,3.6,(814 Reviews),Private,"London,London + 23 more",14 years old,5k-10k Employees (India)
1152,Levi Strauss & C...,4.4,(343 Reviews),Public,"San Francisco,California + 60 more",28 years old,1k-5k Employees (India)
1153,House Of Anita D...,4.4,(343 Reviews),"Navi Mumbai,Maharashtra + 37 more",24 years old,1k-5k Employees (India),
1154,KMV Projects,4.2,(343 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 36 more",15 years old,1k-5k Employees (India)
1155,Hilton,4.1,(432 Reviews),Private,"Mclean,Virginia + 25 more",103 years old,1k-5k Employees (India)
1156,Bikanervala,3.9,(342 Reviews),Private,"Delhi/NCR,New Delhi + 31 more",72 years old,501-1k Employees (India)
1157,Yatra,3.7,(342 Reviews),Private,"Gurgaon,Haryana + 18 more",16 years old,1k-5k Employees (India)
1158,Sayaji Hotels,4.2,(342 Reviews),Public,"Indore,Madhya Pradesh + 19 more",35 years old,1k-5k Employees (India)
1159,Aisin Automotive...,4.0,(342 Reviews),"Gurgaon/Gurugram,Haryana + 14 more",11 years old,201-500 Employees (India),
1160,Amphenol Interco...,4.1,(342 Reviews),"Pune,Maharashtra + 5 more",50 years old,51-200 Employees (India),
1161,Y-Axis Overseas ...,4.2,(342 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 12 more",23 years old,1k-5k Employees (India)
1162,Volvo,4.1,(2.9k Reviews),Private,"Gothenburg,Gothenburg + 29 more",24 years old,1k-5k Employees (India)
1163,Al Turki Enterpr...,3.5,(341 Reviews),Private,Muscat + 7 more,17 years old,501-1k Employees (India)
1164,Signify,3.9,(341 Reviews),Amsterdam + 48 more,92 years old,501-1k Employees (India),
1165,Page Industries,4.4,(341 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 44 more",28 years old,1k-5k Employees (India)
1166,VirtusaPolaris,3.2,(341 Reviews),Private,"Colombo,Colombo + 8 more",26 years old,1k-5k Employees (India)
1167,Unacademy,3.5,(403 Reviews),Private,"Bangalore,Karnataka + 30 more",7 years old,1k-5k Employees (India)
1168,Hi Tech Gears,3.9,(340 Reviews),Public,"Gurgaon/Gurugram,Haryana + 27 more",36 years old,201-500 Employees (India)
1169,GEP Worldwide,3.9,(340 Reviews),Private,"Clark,New Jersey + 3 more",23 years old,1k-5k Employees (India)
1170,Deepak Nitrite,4.0,(340 Reviews),Public,"Vadodara/Baroda,Gujarat + 8 more",52 years old,1k-5k Employees (India)
1171,Mount Litera Zee...,4.0,(340 Reviews),Private,Mumbai + 84 more,28 years old,501-1k Employees (Global)
1172,Amul,4.1,(339 Reviews),Private,"Anand,Gujrat + 89 more",76 years old,1k-5k Employees (India)
1173,Bajaj Housing Fi...,3.9,(339 Reviews),Private,"Pune,Maharashtra + 80 more",14 years old,1k-5k Employees (India)
1174,Indira IVF Hospi...,4.0,(339 Reviews),Private,"Udaipur,Rajasthan + 57 more",7 years old,1k-5k Employees (Global)
1175,Vijaya Diagnosti...,4.2,(338 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 20 more",41 years old,201-500 Employees (India)
1176,Federal Bank,4.2,(539 Reviews),Public,"Aluva,Kerala + 77 more",91 years old,10k-50k Employees (India)
1177,Lovely Professio...,3.7,(337 Reviews),Private,"Phagwara,Punjab + 15 more",17 years old,1k-5k Employees (India)
1178,Westside,4.3,(337 Reviews),Private,Mumbai + 62 more,24 years old,5k-10k Employees (India)
1179,Avalon Technolog...,3.9,(337 Reviews),Private,"Chennai,Tamil Nadu + 7 more",20 years old,501-1k Employees (India)
1180,Isuzu Motors,3.7,(337 Reviews),Private,Tokyo + 18 more,10 years old,501-1k Employees (India)
1181,Google,4.4,(382 Reviews),Private,"Mountain View,California + 42 more",24 years old,10k-50k Employees (India)
1182,Union Bank of In...,3.8,(336 Reviews),Public,"Mumbai,Maharashtra + 74 more",103 years old,50k-1 Lakh Employees (India)
1183,Wockhardt Hospit...,4.2,(336 Reviews),Private,"Mumbai,Maharashtra + 15 more",49 years old,1k-5k Employees (India)
1184,Diebold Nixdorf,4.1,(336 Reviews),Private,"North Canton,Ohio + 33 more",30 years old,1k-5k Employees (India)
1185,CMS Computers Li...,3.8,(335 Reviews),Private,"Mumbai,Maharashtra + 43 more",46 years old,1k-5k Employees (India)
1186,Akal Information...,4.4,(335 Reviews),Private,"Delhi/NCR,New Delhi + 17 more",23 years old,1k-5k Employees (India)
1187,Ministry of Defe...,4.6,(335 Reviews),Private,"Delhi/NCR,Delhi + 52 more",75 years old,10k-50k Employees (India)
1188,Integreon,3.6,(335 Reviews),Private,"Fargo,North Dakota + 6 more",22 years old,1k-5k Employees (India)
1189,Deepak Fertilise...,3.7,(335 Reviews),Public,"Pune,Maharashtra + 33 more",43 years old,501-1k Employees (India)
1190,Parag Milk Foods,3.8,(335 Reviews),Public,"Mumbai,Maharashtra + 47 more",30 years old,1k-5k Employees (India)
1191,Kohler,3.9,(367 Reviews),Private,"Kohler,Wisconsin + 23 more",149 years old,1k-5k Employees (India)
1192,ATS Infrastructu...,4.1,(334 Reviews),Private,"Noida,Uttar Pradesh + 10 more",24 years old,501-1k Employees (India)
1193,Mynd Solutions P...,3.8,(334 Reviews),Private,"Kelowna,British Columbia + 24 more",20 years old,1k-5k Employees (India)
1194,Cult.fit,4.0,(334 Reviews),Private,"Bangalore,Karnataka + 20 more",6 years old,1k-5k Employees (India)
1195,India Cements,4.0,(333 Reviews),Public,"Chennai,Tamil Nadu + 50 more",76 years old,1k-5k Employees (India)
1196,Rashmi Metaliks,3.4,(333 Reviews),Private,"Kolkata,West Bengal + 14 more",18 years old,10k-50k Employees (India)
1197,ZUVENTUS HEALTHC...,4.1,(333 Reviews),Private,"Mumbai,Maharashtra + 51 more",20 years old,1k-5k Employees (India)
1198,Genesys Internat...,3.8,(333 Reviews),Public,"Mumbai,Maharashtra + 10 more",27 years old,1k-5k Employees (India)
1199,Adani Solar,4.0,(333 Reviews),Public,Ahmedabad + 23 more,7 years old,1k-5k Employees (India)
1200,ICICI Prudential...,4.0,(333 Reviews),New Delhi + 92 more,29 years old,1k-5k Employees (India),
1201,Grant Thornton,3.8,(333 Reviews),Private,"Chicago,Illinois + 26 more",98 years old,1k-5k Employees (India)
1202,Vijai Electrical...,3.9,(332 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",49 years old,501-1k Employees (India)
1203,BSCPL Infrastruc...,4.1,(332 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 28 more",50 years old,51-200 Employees (India)
1204,MAHLE Behr India,4.2,(332 Reviews),JV,Pune + 7 more,25 years old,1k-5k Employees (India)
1205,Rico Auto Indust...,3.8,(332 Reviews),Public,"Gurgaon/Gurugram,Haryana + 19 more",39 years old,501-1k Employees (India)
1206,Jaro Education,3.1,(332 Reviews),Private,"Mumbai,Maharashtra + 13 more",13 years old,501-1k Employees (India)
1207,Globiva,3.1,(331 Reviews),"Gurgaon/Gurugram,Haryana + 8 more",5 years old,1k-5k Employees (India),
1208,Allianz Technolo...,4.4,(718 Reviews),Munich + 3 more,132 years old,1k-5k Employees (India),
1209,Somany Ceramics,4.3,(330 Reviews),Public,"Noida,Uttar Pradesh + 43 more",54 years old,1k-5k Employees (India)
1210,Sharda Motor Ind...,3.7,(330 Reviews),Public,"Delhi/NCR,Delhi + 22 more",36 years old,1k-5k Employees (India)
1211,Bharti AXA Gener...,4.1,(330 Reviews),Mumbai + 69 more,14 years old,1k-5k Employees (India),
1212,Renovision Autom...,3.7,(330 Reviews),Private,New Delhi + 45 more,16 years old,1k-5k Employees (India)
